Region,Segment,Sub-segment,Sub-segment 1,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Global,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,"21,913.00","22,812.00","23,742.00","24,727.00","25,743.00","26,807.00","27,927.00","29,113.00","30,337.00","31,587.00","32,859.00","34,116.00","35,356.00"
Global,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,"39,676.00","42,033.00","44,551.00","47,241.00","50,092.00","53,129.00","56,397.00","59,916.00","63,645.00","67,537.00","71,561.00","75,673.00","79,865.00"
Global,By Equipment Type,Storage Equipment,Silos,"2,239.00","2,334.00","2,436.00","2,540.00","2,649.00","2,761.00","2,877.00","3,002.00","3,128.00","3,259.00","3,394.00","3,529.00","3,664.00"
Global,By Equipment Type,Storage Equipment,Storage bins and hoppers,"17,727.00","18,566.00","19,444.00","20,373.00","21,349.00","22,398.00","23,529.00","24,726.00","25,970.00","27,252.00","28,572.00","29,920.00","31,282.00"
Global,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,"8,565.00","9,011.00","9,469.00","9,948.00","10,455.00","10,999.00","11,582.00","12,195.00","12,833.00","13,482.00","14,153.00","14,844.00","15,550.00"
Global,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes","18,285.00","19,059.00","19,878.00","20,756.00","21,667.00","22,620.00","23,613.00","24,658.00","25,745.00","26,865.00","28,011.00","29,160.00","30,295.00"
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,"21,488.00","22,502.00","23,573.00","24,703.00","25,869.00","27,089.00","28,374.00","29,741.00","31,191.00","32,694.00","34,245.00","35,795.00","37,347.00"
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,"45,739.00","48,262.00","50,978.00","53,866.00","56,850.00","59,968.00","63,266.00","66,816.00","70,633.00","74,633.00","78,812.00","83,073.00","87,384.00"
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,"19,643.00","20,855.00","22,118.00","23,449.00","24,865.00","26,393.00","28,052.00","29,823.00","31,673.00","33,591.00","35,606.00","37,713.00","39,894.00"
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,"7,866.00","8,180.00","8,518.00","8,873.00","9,241.00","9,617.00","10,015.00","10,430.00","10,863.00","11,303.00","11,749.00","12,180.00","12,612.00"
